Ticker
BUTBERI BH Equity
ICEPROB FH Equity
JGGFLEU LX Equity
LBBWLSA GR Equity
CLPEAAE ID Equity
PGILPQI LX Equity
FGDSS2C FP Equity
HSSIX   US Equity
LENEURE LX Equity
KSI2288 BB Equity
KVMHYAU LX Equity
PARBLPI LX Equity
AGFFONC FP Equity
RMBKX   US Equity
KBS2678 BB Equity
LOAIX   US Equity
AGFSEIM FP Equity
AGFIMOS FP Equity
FSVLX   US Equity
WPRVEPA AV Equity
HENEPSI LX Equity
AGFIMOA FP Equity
ATHENFO FP Equity
DNBPREQ LX Equity
CCPGD3U CI Equity
PRISX   US Equity
PUFBX   US Equity
FRBAX   US Equity
TRREAGI ID Equity
SFSLX   US Equity
FIGLOPA LX Equity
DUEREAI LX Equity
BKZERTI GR Equity
AVIVE   NA Equity
NATCAPA FP Equity
JEFSX   US Equity
FFSIOIU LX Equity
INGLEIC LX Equity
FNPIX   US Equity
DUEINBC LX Equity
CFIMRCA BB Equity
3BGIMMO AV Equity
PARESXA LX Equity
AAPFEU  NA Equity
ATL5623 BB Equity
INGMAAR LX Equity
RGCGFFD LX Equity
FIDAX   US Equity
S3318   SM Equity
JARIX   US Equity
HHGPEA1 LX Equity
SHRIX   US Equity
PRIEPP1 LX Equity
RYFSX   US Equity
BMMCAPI FP Equity
PCFIRUD ID Equity
RPFGX   US Equity
JERAX   US Equity
CICIMMO FP Equity
GEQ4285 LX Equity
INDFONC FP Equity
ICFSX   US Equity
GAMEAIC FP Equity
DEXEEPC BB Equity
CONVERT FP Equity
AXAAEDI FP Equity
OPKINTA FH Equity
KBEPF   NA Equity
EUPROST AV Equity
JANREA1 ID Equity
ROYSXYA ID Equity
FALILAU LX Equity
TFMIFTP FP Equity
AREAX   US Equity
FSRBX   US Equity
PAMEURC BB Equity
LCATUIA LX Equity
FWRAX   US Equity
FTSEFAE LX Equity
AXAEDAC LX Equity
PXRAX   US Equity
OSIREAL BB Equity
KBC2802 BB Equity
EREALFD AV Equity
PBMPREA AV Equity
VFAIX   US Equity
PETREEA BB Equity
GREE    NA Equity
HISFX   US Equity
CLCATUB LX Equity
GPFIXU3 LX Equity
JANSRUA ID Equity
PLECBFU LE Equity
REIFX   US Equity
ACTIMMO FP Equity
LGSTINP FP Equity
OBJACTF FP Equity
SOFSL1P FP Equity
RYFIX   US Equity
BBFCBBU LX Equity
HHREF   NA Equity
BNPIMMO FP Equity
NBREUIA ID Equity
DBFUSMP LX Equity
UBPMMUS LX Equity
KBCEAOU BB Equity
SEBDMIE LX Equity
LYSCUCA CN Equity
ASRAX   US Equity
KBCEAO3 BB Equity
UNADPUI GR Equity
IRFAX   US Equity
EUPROPA AV Equity
FRTGRBI LX Equity
ANFLX   US Equity
MERFSPA LX Equity
DEGBFB3 GR Equity
FMFCAEU LE Equity
SARRESB LX Equity
DEKDST5 LX Equity
LPXAX   US Equity
NOGREEU LX Equity
MODCLDI GR Equity
CSGLREI LX Equity
HODNTE1 BB Equity
BERFEMI GR Equity
BNPIPII BB Equity
GENECAD LX Equity
DEKDD2Y GR Equity
AGREX   US Equity
SGCBIFH LX Equity
FIREX   US Equity
HIMRA1I ID Equity
UBSECFI SM Equity
PFANX   US Equity
AZCATBA LX Equity
BANCX   US Equity
MDANCBA GR Equity
INGREAI LX Equity
NDCBBXE LX Equity
FIDSX   US Equity
NOLDBPE LX Equity
UNEUC19 LX Equity
KBCDC18 BB Equity
ALZDEOA LX Equity
CENDC17 BB Equity
ALPAPSP LN Equity
DEKOPR5 LX Equity
FIRAX   US Equity
ECOCTC2 FP Equity
SWASX   US Equity
AXAOBIN FP Equity
DEKRENT GR Equity
MPFPROT GR Equity
BKPIX   US Equity
NWSGX   US Equity
RYKAX   US Equity
DEKOPR3 LX Equity
INGECCI LX Equity
GIRAX   US Equity
CSRBPLS GR Equity
RR263FD AV Equity
APOMUND AV Equity
BNPSCTP FP Equity
LPROARR GR Equity
UNIEE18 LX Equity
DDPFA   NA Equity
MAMUOBL FP Equity
DEKOR09 LX Equity
CELKIIN FH Equity
SPARKA9 AV Equity
KBDCP16 BB Equity
HYMUNDA AV Equity
CSRERPL GR Equity
MPFANDI GR Equity
CEIDXC2 BB Equity
TAPRAHA FH Equity
FSPCX   US Equity
COBASGB LX Equity
ALSARNT LX Equity
FAFSX   US Equity
BADISIN UH Equity
KPWSJS1 BB Equity
ARBSPZR LX Equity
FTACCDM GR Equity
MORGPRA LX Equity
